"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35453","1.1.4 validation message for inactive user account","Add User","Tue May 20 21:51:26 UTC 2025","passed","Tue May 20 21:52:01 UTC 2025","","1.1 Org Admin","",""
"","2","A.U_3. Add External User","Add User","Tue May 20 21:52:01 UTC 2025","skipped","Tue May 20 21:52:01 UTC 2025","","1.1 Org Admin","",""
"","1","I.C_1 Case with all fields -- user and user group in Case Officer(s) field","","Tue May 20 21:16:12 UTC 2025","broken","Tue May 20 21:16:12 UTC 2025","","Import Cases","",""
"","0","I.C_3 Case with custom fields","","Tue May 20 21:16:12 UTC 2025","skipped","Tue May 20 21:16:12 UTC 2025","","Import Cases","",""
"","31680","3. Edit and verify reduced number of values on Person View page - Business Name","","Tue May 20 21:31:11 UTC 2025","passed","Tue May 20 21:31:42 UTC 2025","","Edit Person","",""
"","0","2 Import Locations with required fields - verify default properties","","Tue May 20 21:16:56 UTC 2025","skipped","Tue May 20 21:16:56 UTC 2025","","Import Locations","",""
"","687","2.1 Cancelling warning keeps user logged in on other machine","Login page","Tue May 20 21:16:53 UTC 2025","failed","Tue May 20 21:16:54 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","1","1.1 Org Admin-- All fields enabled -- redirect to View Added Case","Add Case","Tue May 20 21:16:59 UTC 2025","broken","Tue May 20 21:16:59 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","29983","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Tue May 20 21:30:40 UTC 2025","passed","Tue May 20 21:31:10 UTC 2025","","Edit Person","",""
"","85839","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Tue May 20 21:17:00 UTC 2025","failed","Tue May 20 21:18:26 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","610","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Tue May 20 21:17:28 UTC 2025","failed","Tue May 20 21:17:29 UTC 2025","","Import People","",""
"","1","1. Import Person with all updated fields","","Tue May 20 21:17:38 UTC 2025","broken","Tue May 20 21:17:38 UTC 2025","","Import People Updates","",""
"","18685","Add User ","","Tue May 20 21:48:55 UTC 2025","failed","Tue May 20 21:49:14 UTC 2025","","Add User","",""
"","0","3 Validation messages for not mapped fields","","Tue May 20 21:16:38 UTC 2025","skipped","Tue May 20 21:16:38 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","4 Validation messages for wrongly formatted values","","Tue May 20 21:16:38 UTC 2025","skipped","Tue May 20 21:16:38 UTC 2025","","Import Legacy Chain of Custody","",""
"","182","1.1.1 'equals' correct Person's name","Search Checkouts","Tue May 20 21:16:26 UTC 2025","failed","Tue May 20 21:16:26 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","45891","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Tue May 20 21:24:12 UTC 2025","passed","Tue May 20 21:24:58 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","73159","9.1 verify multiple Users and Groups can be saved in Case Officers field and Custom User/User Group","Add Case","Tue May 20 21:25:06 UTC 2025","passed","Tue May 20 21:26:19 UTC 2025","","9. --- with multiple users/groups in Case Officers field","",""
"","795","7 Validation messages for wrongly formatted values","","Tue May 20 21:17:18 UTC 2025","failed","Tue May 20 21:17:19 UTC 2025","","Import Notes","",""
"","21454","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Tue May 20 21:29:07 UTC 2025","passed","Tue May 20 21:29:29 UTC 2025","","Edit Item","",""
"","0","3. Import update for item status (Move transaction)","","Tue May 20 21:16:21 UTC 2025","skipped","Tue May 20 21:16:21 UTC 2025","","Import Item Updates","",""
"","56459","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Tue May 20 21:20:09 UTC 2025","passed","Tue May 20 21:21:05 UTC 2025","","Edit Case","",""
"","16238","1. Edit and verify all values on Person View page","","Tue May 20 21:30:23 UTC 2025","failed","Tue May 20 21:30:40 UTC 2025","","Edit Person","",""
"","79907","2.2 verify Org Case Number Format with custom validation message","Add Case","Tue May 20 21:17:27 UTC 2025","failed","Tue May 20 21:18:47 UTC 2025","","2. --- with Case Number formatting in Org, AutoDispo OFF ","",""
"","9366","1.3.1 --- with required Custom Form filled out, all required fields on Form","Add User","Tue May 20 21:52:12 UTC 2025","failed","Tue May 20 21:52:22 UTC 2025","","1.3 --- with Custom Forms","",""
"","23086","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Tue May 20 21:22:15 UTC 2025","passed","Tue May 20 21:22:38 UTC 2025","","Edit Case","",""
"","101648","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Tue May 20 21:22:23 UTC 2025","passed","Tue May 20 21:24:04 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","0","I.C_5 Case Import - Precheck Only","","Tue May 20 21:16:12 UTC 2025","skipped","Tue May 20 21:16:12 UTC 2025","","Import Cases","",""
"","18994","A.M_3. Add Media to Person","","Tue May 20 21:41:11 UTC 2025","passed","Tue May 20 21:41:30 UTC 2025","","Add Media","",""
"","23539","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Tue May 20 21:21:52 UTC 2025","passed","Tue May 20 21:22:15 UTC 2025","","Edit Case","",""
"","29706","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Tue May 20 21:21:45 UTC 2025","passed","Tue May 20 21:22:15 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","52594","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ","Add Item","Tue May 20 21:28:04 UTC 2025","passed","Tue May 20 21:28:56 UTC 2025","","1. Org Admin","",""
"","21867","A.M_2. Add Media to Item","","Tue May 20 21:40:49 UTC 2025","passed","Tue May 20 21:41:11 UTC 2025","","Add Media","",""
"","74775","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name","","Tue May 20 21:31:43 UTC 2025","failed","Tue May 20 21:32:58 UTC 2025","","Edit Person","",""
